Fund Legal Name,BO Clearer Account,Instrument ID,ISIN,End Quantity,Mkt Price (Local),Mkt Val (Local),Daily PNL (Base),MTD PNL (Base),YTD PNL (Base),CL_InvestmentType,CL_Liquidity,CL_Strategy,Posting CCY,ROR % - Daily (Net),ROR % - MTD (Net),ROR % - YTD (Net),ROR % - Daily (Selected Funds),ROR % - MTD (Selected Funds),ROR % - YTD (Selected Funds)
NovaWulf Digital Master Fund L.P.,NYDIG PHYSICALS 94477,Bitcoin 08/26/22 C38000 (OTC),,0,0,0,0,0,5280,,,,USD,0,0,1.371563353066368,0.005727302763123213977157250518,0.009289096501673950492128792063,-0.08781292491064020666075018985
NovaWulf Digital Master Fund L.P.,NYDIG PHYSICALS 94477,Bitcoin 08/26/22 P20000 (OTC),,0,0,0,0,0,7020,,,,USD,0,0,-1,0.005727302763123213977157250518,0.009289096501673950492128792063,-0.08781292491064020666075018985
NovaWulf Digital Master Fund L.P.,NYDIG PHYSICALS 94477,Bitcoin 09/30/22 C25500 (OTC),,-6,1450,-8700,0,0,0,,,,USD,0,0,0,0.005727302763123213977157250518,0.009289096501673950492128792063,-0.08781292491064020666075018985
NovaWulf Digital Master Fund L.P.,NYDIG PHYSICALS 94477,Bitcoin 09/30/22 P14300 (OTC),,6,1200,7200,0,0,0,,,,USD,0,0,0,0.005727302763123213977157250518,0.009289096501673950492128792063,-0.08781292491064020666075018985
NovaWulf Digital Master Fund L.P.,NYDIG PHYSICALS 94477,USD,,13493.35,1,13493.35,0,0,0,Cash,1,Cash,USD,0,0,0,0.005727302763123213977157250518,0.009289096501673950492128792063,-0.08781292491064020666075018985
NovaWulf Digital Master Fund L.P.,PRIV CASH 001,Anchor Labs Series D Preferred Stock,,42878,23.3217001725,999987.86,0,0,0,Equity,3,Growth Equity,USD,0,0,-1,0.005727302763123213977157250518,0.009289096501673950492128792063,-0.08781292491064020666075018985
NovaWulf Digital Master Fund L.P.,PRIV CASH 001,Katena Computing Technologies SAFE,,1,2000000,2000000,0,0,0,Equity,3,Growth Equity,USD,0,0,-1,0.005727302763123213977157250518,0.009289096501673950492128792063,-0.08781292491064020666075018985
NovaWulf Digital Master Fund L.P.,PRIV CASH 001,Lancium Technologies Corporation Series A PFD,,1049748,9.5261000068,10000004.43,0,0,0,Equity,3,Growth Equity,USD,0,0,-1,0.005727302763123213977157250518,0.009289096501673950492128792063,-0.08781292491064020666075018985
NovaWulf Digital Master Fund L.P.,PRIV CASH 001,Legal Fee,,0,0,0,0,0,-299906.81,,,,USD,0,0,0,0.005727302763123213977157250518,0.009289096501673950492128792063,-0.08781292491064020666075018985
NovaWulf Digital Master Fund L.P.,PRIV CASH 001,Terawulf 1st Lien TL (12/21),,15000000,86.7768984719,13016534.77,4726.03,33082.19,888493.16,Bond,2,Private Credit,USD,0.00036307896713742654,0.002543925157938422,0.0706178206585672,0.005727302763123213977157250518,0.009289096501673950492128792063,-0.08781292491064020666075018985
NovaWulf Digital Master Fund L.P.,PRIV CASH 001,USD,,-215258.46,1,-215258.46,0,0,0,Cash,1,Cash,USD,0,0,0,0.005727302763123213977157250518,0.009289096501673950492128792063,-0.08781292491064020666075018985
NovaWulf Digital Master Fund L.P.,PRIV CASH 001,WULF US EQUITY,US88080T1043,0,0,0,0,0,-907817.02,Equity,1,Long / short public securities,USD,0,0,-0.9999999999999997,0.005727302763123213977157250518,0.009289096501673950492128792063,-0.08781292491064020666075018985
